Index,EntryIndex,Timestamp,ServingCellID,NeighborCellID,Neighbor_Avg_RSRP,Neighbor_Avg_RSRQ,Neighbor_Avg_SINR
4,45,80 04:21:33.505,7,10,0,0,0
5,45,80 04:21:33.505,7,9,0,0,0
6,45,80 04:21:33.505,7,11,0,0,0
7,45,80 04:21:33.505,7,2,0,0,0.6666666666666666
8,45,80 04:21:33.505,7,5,0,0,0
9,45,80 04:21:33.505,7,15,0,0,3.6666666666666665
10,45,80 04:21:33.505,7,12,0,0,0
11,45,80 04:21:33.505,7,6,0,0,0
12,45,80 04:21:33.505,7,13,0,0,0
1,46,80 04:21:33.505,7,4,0,0,9
2,46,80 04:21:33.505,7,3,0,0,9
3,46,80 04:21:33.505,7,8,0,0,2.6666666666666665
4,46,80 04:21:33.505,7,2,0,0,1
5,46,80 04:21:33.505,7,9,0,0,0
6,46,80 04:21:33.505,7,11,0,0,0
7,46,80 04:21:33.505,7,14,0,0,0
8,46,80 04:21:33.505,7,10,0,0,0
9,46,80 04:21:33.505,7,15,0,0,4.333333333333333
10,46,80 04:21:33.505,7,12,0,0,1.6666666666666667
11,46,80 04:21:33.505,7,5,0,0,0
12,46,80 04:21:33.505,7,13,0,0,0
13,46,80 04:21:33.505,7,6,0,0,0
1,47,80 04:21:33.505,14,6,0,0,15.5
2,47,80 04:21:33.505,14,5,0,0,1.5
3,47,80 04:21:33.505,14,9,0,0,0
4,47,80 04:21:33.505,14,2,0,0,0
5,47,80 04:21:33.505,14,15,0,0,0
6,47,80 04:21:33.505,14,3,0,0,0
7,47,80 04:21:33.505,14,11,0,0,0
8,47,80 04:21:33.505,14,10,0,0,0
9,47,80 04:21:33.505,14,8,0,0,0
10,47,80 04:21:33.505,14,12,0,0,0
1,48,80 04:21:33.505,13,8,0,0,6
2,48,80 04:21:33.505,13,5,0,0,18.333333333333332
3,48,80 04:21:33.505,13,9,0,0,0.3333333333333333
4,48,80 04:21:33.505,13,3,0,0,0
5,48,80 04:21:33.505,13,2,0,0,0
6,48,80 04:21:33.505,13,4,0,0,0
7,48,80 04:21:33.505,13,10,0,0,0
8,48,80 04:21:33.505,13,14,0,0,0
9,48,80 04:21:33.505,13,6,0,0,0
10,48,80 04:21:33.505,13,7,0,0,0
11,48,80 04:21:33.505,13,11,0,0,0
12,48,80 04:21:33.505,13,15,0,0,0
1,50,80 04:21:33.506,13,5,0,0,20.333333333333332
2,50,80 04:21:33.506,13,8,0,0,4
3,50,80 04:21:33.506,13,3,0,0,0
4,50,80 04:21:33.506,13,9,0,0,2.6666666666666665
5,50,80 04:21:33.506,13,11,0,0,0
6,50,80 04:21:33.506,13,4,0,0,0
7,50,80 04:21:33.506,13,10,0,0,0
8,50,80 04:21:33.506,13,2,0,0,0
9,50,80 04:21:33.506,13,6,0,0,0
10,50,80 04:21:33.506,13,15,0,0,0
11,50,80 04:21:33.506,13,7,0,0,0
12,50,80 04:21:33.506,13,12,0,0,0
1,52,80 04:21:33.507,12,7,0,0,1.5
2,52,80 04:21:33.507,12,10,0,0,3
3,52,80 04:21:33.507,12,5,0,0,1
4,52,80 04:21:33.507,12,2,0,0,0
5,52,80 04:21:33.507,12,4,0,0,8
6,52,80 04:21:33.507,12,11,0,0,0
7,52,80 04:21:33.507,12,14,0,0,0
8,52,80 04:21:33.507,12,15,0,0,0
9,52,80 04:21:33.507,12,9,0,0,0
10,52,80 04:21:33.507,12,3,0,0,0
1,53,80 04:21:33.507,14,6,0,0,23
2,53,80 04:21:33.507,14,9,0,0,0.5
3,53,80 04:21:33.507,14,2,0,0,0
4,53,80 04:21:33.507,14,5,0,0,0
5,53,80 04:21:33.507,14,15,0,0,0
6,53,80 04:21:33.507,14,11,0,0,0
7,53,80 04:21:33.507,14,3,0,0,0
8,53,80 04:21:33.507,14,10,0,0,0
9,53,80 04:21:33.507,14,8,0,0,0
1,54,80 04:21:33.507,12,4,0,0,9
2,54,80 04:21:33.507,12,10,0,0,2.5
3,54,80 04:21:33.507,12,11,0,0,0
4,54,80 04:21:33.507,12,3,0,0,0
5,54,80 04:21:33.507,12,7,0,0,0
6,54,80 04:21:33.507,12,9,0,0,0
7,54,80 04:21:33.507,12,15,0,0,0
8,54,80 04:21:33.507,12,14,0,0,0
9,54,80 04:21:33.507,12,5,0,0,11
10,54,80 04:21:33.507,12,2,0,0,0
1,55,80 04:21:33.508,13,5,0,0,11
2,55,80 04:21:33.508,13,8,0,0,7
3,55,80 04:21:33.508,13,10,0,0,0
4,55,80 04:21:33.508,13,9,0,0,0
5,55,80 04:21:33.508,13,2,0,0,0
6,55,80 04:21:33.508,13,3,0,0,0
7,55,80 04:21:33.508,13,6,0,0,0
8,55,80 04:21:33.508,13,14,0,0,0
9,55,80 04:21:33.508,13,11,0,0,0
1,56,80 04:21:33.509,2,7,0,0,7.5
2,56,80 04:21:33.509,2,3,0,0,6.333333333333333
3,56,80 04:21:33.509,2,4,0,0,12.25
4,56,80 04:21:33.509,2,12,0,0,0
5,56,80 04:21:33.509,2,6,0,0,3
6,56,80 04:21:33.509,2,15,0,0,0
7,56,80 04:21:33.509,2,10,0,0,2
8,56,80 04:21:33.509,2,8,0,0,0
9,56,80 04:21:33.509,2,5,0,0,0
10,56,80 04:21:33.509,2,11,0,0,0
11,56,80 04:21:33.509,2,13,0,0,0
1,59,80 04:21:33.510,13,5,0,0,11
2,59,80 04:21:33.510,13,9,0,0,2.6666666666666665
3,59,80 04:21:33.510,13,8,0,0,8
4,59,80 04:21:33.510,13,10,0,0,0
5,59,80 04:21:33.510,13,3,0,0,0
6,59,80 04:21:33.510,13,2,0,0,0
7,59,80 04:21:33.510,13,6,0,0,3
8,59,80 04:21:33.510,13,4,0,0,0
9,59,80 04:21:33.510,13,14,0,0,0
1,60,80 04:21:33.510,9,5,0,0,10.75
2,60,80 04:21:33.510,9,8,0,0,2.3333333333333335
3,60,80 04:21:33.510,9,6,0,0,14
4,60,80 04:21:33.510,9,10,0,0,9.5
5,60,80 04:21:33.510,9,14,0,0,0
6,60,80 04:21:33.510,9,13,0,0,0
7,60,80 04:21:33.510,9,12,0,0,0
8,60,80 04:21:33.510,9,4,0,0,0
9,60,80 04:21:33.510,9,3,0,0,2
10,60,80 04:21:33.510,9,7,0,0,0
11,60,80 04:21:33.510,9,2,0,0,6.5
12,60,80 04:21:33.510,9,11,0,0,0
1,61,80 04:21:33.510,13,8,0,0,8
2,61,80 04:21:33.510,13,5,0,0,7.666666666666667
3,61,80 04:21:33.510,13,3,0,0,0
4,61,80 04:21:33.510,13,6,0,0,1
5,61,80 04:21:33.510,13,14,0,0,0
6,61,80 04:21:33.510,13,9,0,0,1.3333333333333333
7,61,80 04:21:33.510,13,2,0,0,0
8,61,80 04:21:33.510,13,4,0,0,0
9,61,80 04:21:33.510,13,10,0,0,0
10,61,80 04:21:33.510,13,11,0,0,0
1,62,80 04:21:33.510,2,4,0,0,6.666666666666667
2,62,80 04:21:33.510,2,10,0,0,4
3,62,80 04:21:33.510,2,7,0,0,0.5
4,62,80 04:21:33.510,2,3,0,0,2.5
5,62,80 04:21:33.510,2,8,0,0,0
6,62,80 04:21:33.510,2,6,0,0,3.5
7,62,80 04:21:33.510,2,15,0,0,2
8,62,80 04:21:33.510,2,12,0,0,0
9,62,80 04:21:33.510,2,5,0,0,0
10,62,80 04:21:33.510,2,11,0,0,0
11,62,80 04:21:33.510,2,9,0,0,0
1,64,80 04:21:33.511,11,8,0,0,25
2,64,80 04:21:33.511,11,3,0,0,18
3,64,80 04:21:33.511,11,6,0,0,0
4,64,80 04:21:33.511,11,9,0,0,0
5,64,80 04:21:33.511,11,2,0,0,0
6,64,80 04:21:33.511,11,10,0,0,0
7,64,80 04:21:33.511,11,5,0,0,0
8,64,80 04:21:33.511,11,7,0,0,0
1,65,80 04:21:33.511,12,4,0,0,14
2,65,80 04:21:33.511,12,10,0,0,3.5
3,65,80 04:21:33.511,12,9,0,0,0
4,65,80 04:21:33.511,12,7,0,0,5
5,65,80 04:21:33.511,12,3,0,0,0
6,65,80 04:21:33.511,12,11,0,0,0
7,65,80 04:21:33.511,12,2,0,0,0
8,65,80 04:21:33.511,12,15,0,0,0
9,65,80 04:21:33.511,12,13,0,0,0
10,65,80 04:21:33.511,12,5,0,0,0
1,66,80 04:21:33.511,8,3,0,0,16
2,66,80 04:21:33.511,8,15,0,0,6
3,66,80 04:21:33.511,8,11,0,0,1.5
4,66,80 04:21:33.511,8,2,0,0,0
5,66,80 04:21:33.511,8,9,0,0,0
6,66,80 04:21:33.511,8,5,0,0,3.3333333333333335
7,66,80 04:21:33.511,8,12,0,0,0
8,66,80 04:21:33.511,8,14,0,0,0
9,66,80 04:21:33.511,8,13,0,0,4.5
10,66,80 04:21:33.511,8,7,0,0,0
11,66,80 04:21:33.511,8,4,0,0,0
12,66,80 04:21:33.511,8,10,0,0,0
1,67,80 04:21:33.511,2,5,0,0,0
2,67,80 04:21:33.511,2,4,0,0,7
3,67,80 04:21:33.511,2,10,0,0,2
4,67,80 04:21:33.511,2,15,0,0,2.3333333333333335
5,67,80 04:21:33.511,2,11,0,0,0
6,67,80 04:21:33.511,2,9,0,0,0
7,67,80 04:21:33.511,2,6,0,0,2.3333333333333335
8,67,80 04:21:33.511,2,7,0,0,0
